"QYEAR","NEWID","SEQNO","ALCNO","REC_ORIG","CLOTHYD","CLOTHYD_","CLSVGFTC","CLSV_FTC","CLOTHMOD","CLOT_MOD","CLSRVCX","CLSRVCX_","CLOTHD1","CLOTHD1_","CLOTHD2","CLOTHD2_","CLOTHD3","CLOTHD3_","CLOTHD4","CLOTHD4_","CLOTHD5","CLOTHD5_","CLOTHD6","CLOTHD6_","CLOTHD7","CLOTHD7_","CLOTHD8","CLOTHD8_","CLOTHD9","CLOTHD9_"
"20084",1965173,17,0,"1","450","D","1","D","10","D",20,"F","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20084",1965322,26,0,"1","460","D","1","D","10","D",72,"D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20084",1965782,24,0,"1","470","D","2","D","10","D",75,"D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20084",1965802,20,0,"1","470","D","1","D","07","D",15,"D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20084",1965942,14,0,"1","480","D","1","D","10","D",128,"D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20084",1965965,15,0,"1","460","D","1","D","08","D",20,"D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20084",1966475,19,0,"1","470","D","1","D","08","D",400,"D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20084",1966585,18,0,"1","470","D","1","D","11","D",10,"D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20084",1966802,21,0,"1","450","D","1","D","10","D",40,"D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20084",1966822,15,0,"1","450","D","1","D","10","D",200,"D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20084",1966834,16,0,"1","450","D","1","D","11","D",8,"F","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20084",1966972,17,0,"2","460","D","1","D","08","D",19,"D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20084",1967112,17,0,"1","460","D","1","D","08","D",8,"D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20084",1967202,25,0,"1","450","D","1","D","10","D",27,"D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20084",1967412,19,0,"1","450","D","1","D","09","D",30,"D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20084",1967642,20,0,"1","450","D","1","D","09","D",30,"D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20084",1967642,21,0,"1","470","D","1","D","10","D",70,"D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20084",1967722,20,0,"1","490","D","1","D","09","D",5,"D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20084",1967902,26,0,"1","450","D","1","D","11","D",26,"D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20084",1967902,27,0,"1","460","D","1","D","10","D",11,"D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20084",1967964,16,0,"1","450","D","1","D","09","D",6,"D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20084",1968002,19,0,"1","450","D","1","D","09","D",53,"D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20084",1968482,19,0,"1","460","D","1","D","11","D",13,"D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20084",1968522,28,0,"1","460","D","1","D","11","D",14,"D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20084",1968522,29,0,"2","460","D","1","D","09","D",12,"D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20084",1968722,22,0,"1","450","D","1","D","10","D",200,"D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20084",1968752,16,0,"1","470","D","1","D","08","D",32,"D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20084",1968842,15,0,"1","450","D","1","D","11","D",40,"D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20084",1969362,22,0,"1","460","D","1","D","09","D",35,"F","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20084",1969382,18,0,"2","450","D","1","D","07","D",20,"D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20084",1969442,19,0,"1","450","D","1","D","11","D",16,"D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20084",1969952,33,0,"1","450","D","1","D","09","D",50,"D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20084",1970362,15,0,"1","460","D","1","D","09","D",22,"D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20084",1970552,16,0,"1","470","D","1","D","10","D",8,"D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20084",1970622,17,0,"1","450","D","1","D","09","D",40,"D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20084",1970652,29,0,"1","470","D","1","D","10","D",85,"D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20084",1971074,19,0,"1","450","D","2","D","09","D",37,"D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20084",1971122,19,0,"1","450","D","1","D","08","D",52,"D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20084",1971153,17,0,"1","480","D","1","D","09","D",40,"D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20084",1971252,17,0,"2","470","D","1","D","08","D",5,"D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20084",1971322,17,0,"1","460","D","1","D","09","D",12,"D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20084",1971472,14,0,"1","450","D","1","D","11","D",43,"D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20084",1971672,16,0,"1","450","D","1","D","08","D",5,"D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20084",1972052,16,0,"1","460","D","1","D","09","D",40,"D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20084",1972442,31,0,"1","450","D","1","D","10","D",5,"D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20084",1972782,14,0,"1","470","D","1","D","09","D",10,"D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20084",1973014,14,0,"1","470","D","1","D","09","D",6,"D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20084",1973172,17,0,"1","450","D","1","D","11","D",100,"D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20084",1973202,14,0,"1","480","D","1","D","07","D",130,"D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20091",1905795,13,0,"1","480","D","1","D","11","D",21,"D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20091",1905795,14,0,"1","480","D","1","D","12","D",21,"D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20091",1905795,15,0,"1","480","D","1","D","01","D",21,"D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20091",1905805,16,0,"1","470","D","1","D","12","D",700,"D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20091",1906145,16,0,"1","450","D","1","D","12","D",22,"D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20091",1906245,21,0,"1","470","D","1","D","11","D",9,"D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20091",1906385,19,0,"1","450","D","1","D","01","D",10,"D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20091",1906615,19,0,"1","450","D","1","D","01","D",32,"D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20091",1906635,41,0,"1","470","D","1","D","01","D",80,"D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20091",1907355,15,0,"1","470","D","1","D","12","D",50,"D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20091",1907375,26,0,"1","460","D","1","D","11","D",14,"D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20091",1907555,22,0,"1","460","D","1","D","01","D",15,"D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20091",1907645,20,0,"1","450","D","2","D","02","D",217,"D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20091",1907665,23,0,"1","470","D","1","D","02","D",10,"D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20091",1907865,13,0,"1","450","D","1","D","01","D",5,"D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20091",1908815,17,0,"1","450","D","1","D","12","D",20,"D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20091",1908915,23,0,"1","450","D","1","D","12","D",16,"D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20091",1908945,15,0,"2","470","D","1","D","12","D",4,"D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20091",1909245,16,0,"1","450","D","1","D","02","D",21,"D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20091",1909545,15,0,"2","450","D","1","D","10","D",9,"D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20091",1909595,14,0,"1","450","D","1","D","11","D",22,"D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20091",1909785,22,0,"2","460","D","1","D","12","D",8,"D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20091",1909985,25,0,"1","450","D","1","D","11","D",60,"D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20091",1909985,26,0,"1","450","D","1","D","12","D",60,"D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20091",1909985,27,0,"1","450","D","1","D","11","D",45,"D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20091",1909985,28,0,"1","450","D","1","D","12","D",45,"D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20091",1910305,14,0,"1","450","D","1","D","02","D",50,"D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20091",1910385,20,0,"1","450","D","2","D","12","D",50,"D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20091",1910545,27,0,"1","450","D","1","D","01","D",30,"D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20091",1910545,28,0,"1","450","D","1","D","11","D",62,"D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20091",1910545,29,0,"2","450","D","1","D","11","D",30,"D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20091",1911255,49,0,"1","470","D","1","D","01","D",9,"D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20091",1911345,18,0,"1","450","D","1","D","12","D",43,"D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20091",1911385,28,0,"1","450","D","1","D","11","D",77,"D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20091",1911445,15,0,"2","460","D","1","D","10","D",11,"D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20091",1911575,27,0,"1","460","D","1","D","12","D",20,"D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20091",1911575,28,0,"1","470","D","1","D","01","D",25,"D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20091",1912055,19,0,"1","450","D","1","D","11","D",3,"D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20091",1912415,22,0,"1","450","D","1","D","11","D",24,"D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20091",1912535,14,0,"1","450","D","1","D","11","D",12,"D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20091",1912575,16,0,"1","460","D","1","D","12","D",65,"D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20091",1912705,19,0,"1","450","D","1","D","12","D",4,"D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20091",1913015,15,0,"1","460","D","1","D","02","D",30,"D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20091",1913305,22,0,"1","450","D","1","D","11","D",33,"D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20091",1913375,22,0,"1","450","D","1","D","02","D",9,"D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20091",1913385,18,0,"2","470","D","1","D","10","D",16,"D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20091",1913525,45,0,"1","470","D","1","D","02","D",112,"D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20091",1913535,50,0,"1","450","D","1","D","12","D",20,"D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20091",1913535,51,0,"1","460","D","1","D","12","D",70,"D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20091",1913755,62,0,"1","450","D","1","D","02","D",6,"D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20091",1914425,22,0,"2","470","D","1","D","11","D",5,"D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20091",1914565,27,0,"1","450","D","1","D","12","D",58,"D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20091",1914685,18,0,"1","450","D","1","D","11","D",108,"D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20091",1914685,19,0,"1","470","D","1","D","11","D",48,"D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20091",1914785,22,0,"1","450","D","1","D","01","D",75,"D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20091",1914935,14,0,"1","460","D","1","D","12","D",10,"D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20091",1915365,25,0,"1","470","D","1","D","11","D",8,"D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20091",1915705,27,0,"1","490","D","1","D","11","D",135,"D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20091",1915705,28,0,"1","490","D","1","D","12","D",135,"D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20091",1915705,29,0,"2","490","D","1","D","10","D",135,"D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20091",1915855,23,0,"1","450","D","1","D","12","D",20,"D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20091",1915975,30,0,"1","450","D","1","D","02","D",160,"D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20091",1916225,19,0,"1","450","D","1","D","02","D",12,"D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20091",1916225,20,0,"1","460","D","1","D","02","D",4,"D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20091",1916505,18,0,"1","460","D","1","D","11","D",12,"D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20091",1917015,22,0,"1","450","D","1","D","12","D",46,"D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20091",1917015,23,0,"1","450","D","1","D","01","D",31,"D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20091",1917065,18,0,"1","450","D","2","D","12","D",15,"D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20091",1917495,28,0,"1","470","D","1","D","12","D",10,"D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20091",1917995,19,0,"2","450","D","1","D","10","D",25,"D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20091",1918095,13,0,"1","450","D","1","D","01","D",1,"D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20091",1918485,14,0,"1","450","D","1","D","01","D",36,"D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20091",1918485,15,0,"1","460","D","1","D","01","D",32,"D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20091",1918715,27,0,"1","470","D","1","D","11","D",22,"D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20091",1918975,44,0,"1","450","D","1","D","12","D",150,"D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20091",1918975,45,0,"1","470","D","1","D","01","D",80,"D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20091",1918975,46,0,"1","470","D","1","D","01","D",80,"D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20091",1919465,26,0,"1","470","D","1","D","01","D",83,"D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20091",1919585,23,0,"1","470","D","1","D","11","D",9,"D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20091",1920125,24,0,"1","470","D","1","D","01","D",6,"D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20091",1920255,16,0,"1","450","D","1","D","02","D",30,"D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20091",1920265,19,0,"2","450","D","1","D","12","D",15,"D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20091",1920675,13,0,"1","450","D","1","D","12","D",20,"D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20091",1920805,19,0,"1","470","D","1","D","02","D",30,"D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20091",1921405,23,0,"1","460","D","1","D","12","D",22,"D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20091",1921625,19,0,"1","460","D","1","D","11","D",13,"D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20091",1922125,18,0,"1","470","D","1","D","02","D",60,"D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20091",1922935,18,0,"1","470","D","1","D","02","D",6,"D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20091",1923335,17,0,"1","450","D","1","D","02","D",50,"D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20091",1923585,15,0,"1","470","D","1","D","10","D",32,"D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20091",1923795,21,0,"1","450","D","1","D","01","D",40,"D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20091",1923835,24,0,"1","480","D","1","D","10","D",111,"D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20091",1923915,19,0,"1","480","D","1","D","12","D",30,"D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20091",1924075,18,0,"1","450","D","1","D","10","D",80,"D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20091",1924145,17,0,"1","450","D","1","D","02","D",10,"D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20091",1924375,20,0,"1","460","D","1","D","12","D",27,"D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20091",1924965,17,0,"1","470","D","1","D","01","D",65,"D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20091",1925275,16,0,"1","450","D","1","D","11","D",30,"D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20091",1925425,17,0,"1","450","D","1","D","12","D",30,"D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20091",1925455,20,0,"1","470","D","1","D","12","D",53,"D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20091",1925495,18,0,"1","470","D","1","D","02","D",32,"D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20091",1925575,18,0,"1","450","D","1","D","10","D",20,"D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20091",1925855,15,0,"1","450","D","1","D","12","D",31,"D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20091",1925945,23,0,"1","450","D","1","D","12","D",75,"D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20091",1926105,20,0,"1","490","D","1","D","01","D",110,"D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20091",1926105,21,0,"1","490","D","1","D","12","D",110,"D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20091",1926305,17,0,"1","450","D","1","D","11","D",14,"D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20091",1926315,15,0,"1","450","D","1","D","11","D",23,"D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20091",1926315,16,0,"2","450","D","1","D","11","D",32,"D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20091",1926855,20,0,"1","450","D","1","D","12","D",100,"D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20091",1926995,19,0,"1","450","D","1","D","11","D",60,"D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20091",1927005,16,0,"2","450","D","1","D","11","D",38,"D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20091",1927195,20,0,"1","470","D","1","D","02","D",150,"D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20091",1927275,21,0,"1","450","D","1","D","01","D",45,"D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20091",1927285,17,0,"1","450","D","1","D","12","D",50,"D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20091",1927395,27,0,"2","480","D","1","D","12","D",9,"D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20091",1927445,34,0,"1","470","D","1","D","01","D",8,"D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20091",1927545,20,0,"1","450","D","1","D","02","D",22,"D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20091",1927575,18,0,"1","460","D","1","D","12","D",25,"D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20091",1927665,14,0,"1","450","D","1","D","12","D",15,"D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20091",1927735,34,0,"1","470","D","1","D","01","D",10,"D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20091",1928045,19,0,"1","450","D","1","D","01","D",5,"D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20091",1928065,19,0,"1","470","D","1","D","02","D",20,"D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20091",1928244,27,0,"1","450","D","1","D","01","D",25,"D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20091",1928424,16,0,"2","470","D","1","D","10","D",22,"D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20091",1928914,20,0,"1","460","D","1","D","11","D",15,"D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20091",1929454,25,0,"1","450","D","1","D","12","D",50,"D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20091",1929654,15,0,"1","470","D","1","D","11","D",17,"D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20091",1929924,23,0,"1","460","D","1","D","02","D",16,"D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20091",1930224,20,0,"1","470","D","1","D","02","D",3,"D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20091",1930304,13,0,"1","450","D","1","D","11","D",4,"D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20091",1930984,20,0,"1","450","D","1","D","12","D",33,"D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20091",1930984,21,0,"1","480","D","1","D","01","D",52,"D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20091",1931204,23,0,"1","480","D","1","D","12","D",106,"D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20091",1931274,16,0,"1","470","D","1","D","01","D",8,"D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20091",1931274,17,0,"1","470","D","1","D","01","D",8,"D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20091",1931694,19,0,"1","470","D","1","D","12","D",4,"D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20091",1931894,19,0,"1","450","D","1","D","01","D",75,"D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20091",1932104,16,0,"1","490","D","1","D","10","D",103,"D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20091",1932104,17,0,"1","490","D","1","D","11","D",103,"D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20091",1932104,18,0,"1","490","D","1","D","12","D",103,"D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20091",1932114,23,0,"1","450","D","1","D","11","D",200,"D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20091",1932514,13,0,"2","460","D","1","D","10","D",11,"D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20091",1933074,18,0,"1","460","D","1","D","10","D",15,"D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20091",1933214,17,0,"1","450","D","1","D","01","D",12,"D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20091",1933214,18,0,"2","460","D","1","D","11","D",45,"D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20091",1933314,34,0,"1","450","D","1","D","12","D",25,"D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20091",1933374,31,0,"1","460","D","1","D","11","D",32,"D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20091",1933984,28,0,"1","450","D","1","D","12","D",22,"D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20091",1934094,25,0,"1","450","D","1","D","12","D",16,"D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20091",1934094,26,0,"1","470","D","1","D","01","D",13,"D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20091",1934654,34,0,"1","450","D","1","D","11","D",50,"D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20091",1934724,17,0,"1","450","D","1","D","02","D",200,"D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20091",1934804,19,0,"1","450","D","1","D","10","D",75,"D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20091",1934844,18,0,"1","470","D","1","D","11","D",200,"D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20091",1935074,19,0,"1","470","D","1","D","12","D",95,"D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20091",1935144,30,0,"1","470","D","1","D","12","D",32,"D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20091",1935564,15,0,"1","450","D","1","D","11","D",47,"D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20091",1935614,24,0,"1","450","D","1","D","01","D",10,"D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20091",1936024,23,0,"1","470","D","1","D","01","D",5,"D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20091",1936134,19,0,"1","470","D","1","D","12","D",5,"D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20091",1936134,20,0,"1","470","D","1","D","12","D",26,"D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20091",1936215,39,0,"1","470","D","1","D","11","D",263,"D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20091",1936215,40,0,"1","450","D","1","D","12","D",30,"D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20091",1936215,41,0,"2","450","D","1","D","11","D",11,"D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20091",1936414,20,0,"1","480","D","1","D","11","D",110,"D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20091",1936574,16,0,"1","480","D","1","D","12","D",90,"D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20091",1937004,17,0,"1","450","D","1","D","02","D",21,"D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20091",1937214,20,0,"1","450","D","1","D","01","D",52,"D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20091",1937364,17,0,"2","450","D","1","D","12","D",30,"D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20091",1937554,21,0,"1","470","D","1","D","01","D",45,"D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20091",1937754,21,0,"1","450","D","1","D","11","D",13,"D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20091",1937984,22,0,"1","470","D","1","D","11","D",22,"D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20091",1937984,23,0,"1","460","D","1","D","12","D",20,"D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20091",1938295,16,0,"2","470","D","1","D","12","D",95,"D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20091",1938494,20,0,"1","450","D","1","D","11","D",34,"D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20091",1938664,15,0,"1","460","D","1","D","01","D",27,"D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20091",1938804,18,0,"1","460","D","1","D","12","D",5,"D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20091",1938824,20,0,"1","450","D","1","D","01","D",28,"D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20091",1938834,18,0,"2","450","D","1","D","10","D",70,"D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
