"QYEAR","NEWID","SEQNO","ALCNO","REC_ORIG","RENTCODE","RENT_ODE","BSNSPCTZ","BSNS_CTZ","QADRENTX","QADR_NTX","ANYVACAT","ANYV_CAT"
"20131",2599243,43,0,"1","100","D",.,"A",.,"A","1","D"
"20131",2599503,30,0,"1","100","D",.,"A",.,"A","1","D"
"20131",2600983,59,0,"1","100","D",.,"A",.,"A","1","D"
"20131",2601163,71,0,"1","100","D",.,"A",1400,"D","2","D"
"20131",2603333,53,0,"1","100","D",.,"A",.,"A","1","D"
"20131",2603933,56,0,"1","110","D",.,"A",.,"A","1","D"
"20131",2605663,42,0,"1","100","D",.,"A",160,"D","2","D"
"20131",2606803,35,0,"1","100","D",.,"A",.,"A","1","D"
"20131",2608503,61,0,"1","100","D",.,"A",.,"A","1","D"
"20131",2608963,35,0,"1","100","D",.,"A",.,"A","1","D"
"20131",2609203,41,0,"1","100","D",.,"A",56,"D","2","D"
"20131",2609323,22,0,"1","110","D",.,"A",80,"D","2","D"
"20131",2610133,46,0,"1","100","D",.,"A",371,"D","2","D"
"20131",2612473,46,0,"1","150","D",.,"A",.,"A","1","D"
"20131",2613732,85,0,"1","100","D",.,"A",35,"D","2","D"
"20131",2614212,52,0,"1","100","D",0.33,"D",469,"D","2","D"
"20131",2614442,67,0,"1","110","D",.,"A",.,"A","1","D"
"20131",2614442,68,0,"1","110","D",.,"A",290,"D","2","D"
"20131",2614572,53,0,"1","100","D",.,"A",.,"A","1","D"
"20131",2614582,63,0,"1","100","D",.,"A",.,"A","1","D"
"20131",2614582,64,0,"1","100","D",.,"A",.,"A","1","D"
"20131",2615625,30,0,"1","100","D",1,"D",0,"D","2","D"
"20131",2619812,53,0,"1","100","D",.,"A",.,"A","1","D"
"20131",2619992,44,0,"1","100","D",.,"A",160,"D","2","D"
"20131",2620182,43,0,"1","110","D",.,"A",.,"A","1","D"
"20131",2620932,55,0,"1","100","D",.,"A",.,"A","1","D"
"20131",2620932,56,0,"1","100","D",.,"A",.,"A","1","D"
"20131",2621112,46,0,"1","110","D",.,"A",.,"A","1","D"
"20131",2621192,71,0,"1","100","D",.,"A",22,"D","2","D"
"20131",2621192,72,0,"1","100","D",.,"A",.,"A","1","D"
"20131",2621582,45,0,"1","100","D",.,"A",.,"A","1","D"
"20131",2621582,46,0,"1","200","D",.,"A",.,"A","1","D"
"20131",2621922,48,0,"1","100","D",.,"A",.,"A","1","D"
"20131",2622172,66,0,"1","110","D",.,"A",.,"A","1","D"
"20131",2622172,67,0,"1","100","D",.,"A",.,"A","1","D"
"20131",2622662,41,0,"1","100","D",.,"A",.,"A","1","D"
"20131",2623402,42,0,"1","100","D",.,"A",.,"A","1","D"
"20131",2623402,43,0,"1","100","D",.,"A",750,"D","2","D"
"20131",2626892,48,0,"1","100","D",.,"A",.,"A","1","D"
"20131",2628922,52,0,"1","100","D",.,"A",.,"A","1","D"
"20131",2629952,69,0,"1","100","D",.,"A",36,"D","2","D"
"20131",2630162,57,0,"1","100","D",.,"A",236,"D","2","D"
"20131",2630322,39,0,"1","100","D",.,"A",300,"D","2","D"
"20131",2630652,31,0,"1","100","D",.,"A",.,"A","1","D"
"20131",2632612,37,0,"1","100","D",.,"A",289,"F","2","D"
"20131",2632692,93,0,"1","100","D",.,"A",.,"A","1","D"
"20131",2633882,32,0,"1","100","D",.,"A",.,"A","1","D"
"20131",2634015,30,0,"1","200","D",.,"A",.,"A","1","D"
"20131",2634224,31,0,"1","100","D",.,"A",70,"D","2","D"
"20131",2635312,45,0,"1","110","D",.,"A",59,"D","2","D"
"20131",2636542,55,0,"1","100","D",.,"A",100,"D","2","D"
"20131",2636952,45,0,"1","110","D",.,"A",78,"D","2","D"
"20131",2637462,87,0,"1","100","D",.,"A",.,"A","1","D"
"20131",2637912,49,0,"1","100","D",.,"A",.,"A","1","D"
"20131",2639192,60,0,"1","100","D",.,"A",46,"D","2","D"
"20131",2639242,71,0,"1","100","D",.,"A",.,"A","1","D"
"20131",2639922,36,0,"1","100","D",.,"A",.,"A","1","D"
"20131",2640012,29,0,"1","100","D",.,"A",18,"D","2","D"
"20131",2640052,63,0,"1","110","D",.,"A",190,"D","2","D"
"20131",2640302,61,0,"1","100","D",.,"A",.,"A","1","D"
"20131",2640632,46,0,"1","110","D",.,"A",.,"A","1","D"
"20131",2640845,41,0,"1","100","D",.,"A",.,"A","1","D"
"20131",2645532,45,0,"1","100","D",.,"A",120,"D","2","D"
"20131",2646252,45,0,"1","110","D",.,"A",82,"D","2","D"
"20131",2650744,41,0,"1","110","D",.,"A",70,"D","2","D"
"20131",2662474,41,0,"1","100","D",0.8,"D",110,"D","2","D"
"20131",2665434,39,0,"1","100","D",.,"A",25,"D","2","D"
"20131",2666225,37,0,"1","110","D",.,"A",.,"A","1","D"
"20131",2668095,27,0,"1","110","D",.,"A",40,"D","2","D"
"20131",2672944,62,0,"1","100","D",.,"A",.,"A","1","D"
"20131",2677263,40,0,"1","110","D",.,"A",.,"A","1","D"
"20131",2679225,27,0,"1","110","D",.,"A",125,"D","2","D"
"20131",2679864,55,0,"1","110","D",.,"A",460,"D","2","D"
